Dégustation,Nom,Couleur,Région,Appellation,Millésime,Pays
28,Château Trotte Vieille,Rouge,Bordeaux,Saint-Émilion,2005,France
28,Mambourg,Blanc,Alsace,Alsace-Grand-Cru,2005,France
29,Chadonnay - Domaine La Petite Forge - Daniel et Katrin Pabion,Blanc,Loire,Vin de Pays des Côtes-de-la-charité,2013,France
29,Mas de Daumas Gassac,Blanc,Languedoc-Roussillon,Vin de Pays de l'Hérault,2009,France
29,Cuvée 6 de Coeur - Domaine de Pierre Belle,Rouge,Languedoc-Roussillon,Vin de Pays des Coteaux du Libron,2009,France
29,Le Sang des Volcans - Syrah,Rouge,Loire,Puy-De-Dôme,2012,France
29,Une et Mille Nuits - Domaine Canet Valette,Rouge,Languedoc-Roussillon,Saint-Chinian,2006,France
29,Château Rabaud-Promis,Blanc liquoreux,Bordeaux,Sauternes,1995,France
30,Champagne Royale Réserve Non Dosé - Philipponnat,Blanc effervescent,Champagne,Champagne,N.M,France
30,Clochers De Coustaussa - Sieur d'Arques,Blanc,Languedoc-Roussillon,Limoux,2012,France
30,Franc de Pied - Bernard Baudry,Rouge,Loire,Chinon,2009,France
30,Cos d'Estournel,Rouge,Bordeaux,Saint-Estèphe,2001,France
30,Gevrey-Chambertin Vigne Belle - Domaine Thierry Mortet,Rouge,Bourgogne,Gevrey-Chambertin,2011,France
31,Chablis - Domaine Fourrey,Blanc,Bourgogne,Chablis,2014,France
31,Nuits Saint Georges 1er cru Clos de l'Arlot - Domaine de l'Arlot,Blanc,Bourgogne,Nuits-Saint-Georges,2009,France
31,Morey-Saint-Denis 1er Cru Les Faconnières - Domaine Marchand Frères,Rouge,Bourgogne,Morey-Saint-Denis,2012,France
31,Château Angélus,Rouge,Bordeaux,Saint-Émilion-Grand-Cru,2002,France
31,La Chapelle de Sainte Roseline,Rouge,Provence,Côtes de Provence,2006,France
31,Clos Saint Urbain - Gewurztraminer - Rangen de Thann - Domaine Zind Humbrecht,Blanc,Alsace,Alsace-Grand-Cru,2009,France
32,Egly-Ouriet - Brut Grand Cru,Blanc effervescent,Champagne,Champagne,1996,France
32,Clos de Tart,Rouge,Bourgogne,Clos-de-Tart,2007,France
32,Château La Voulte-Gasparet,Rouge,Languedoc-Roussillon,Corbières,2007,France
32,Monier de la Sizeranne - M. Chapoutier,Rouge,Rhône,Hermitage,2009,France
32,Château Ausone,Rouge,Bordeaux,Saint-Émilion-Grand-Cru,1988,France
32,Château Haut-Brion,Rouge,Bordeaux,Pessac-Léognan,2004,France
32,Château Pontet-Canet,Rouge,Bordeaux,Pauillac,1982,France
33,Folle Blanche - Pierre Luneau-Papin,Blanc,Loire,Gros Plant du Pays Nantais,2014,France
33,Champagne Brut Nature édition limitée by Philippe Starck - Louis Roederer,Blanc effervescent,Champagne,Champagne,2006,France
33,Châteauneuf du Pape - Domaine Raymond Usseglio & Fils,Blanc,Rhône,Châteauneuf-Du-Pape,2006,France
33,Nuits Saint Georges 1er cru Clos de l'Arlot - Domaine de l'Arlot,Rouge,Bourgogne,Nuits-Saint-Georges,2006,France
33,Clos René,Rouge,Bordeaux,Pomerol,2006,France
33,Domaine de la Grange des Pères,Rouge,Languedoc-Roussillon,Vin de Pays de l'Hérault,2006,France
34,Champagne Brut Nature - Pinot Noir Zéro Dosage - Drappier,Blanc effervescent,Champagne,Champagne,N.M,France
34,Silex - Didier Dagueneau,Blanc,Loire,Pouilly-Fumé,2007,France
34,Les Chaillées de l'Enfer - Domaine Georges Vernay,Blanc,Rhône,Condrieu,2007,France
34,Le Petit Mouton de Mouton Rothschild,Rouge,Bordeaux,Pauillac,2007,France
34,Cos d'Estournel,Rouge,Bordeaux,Saint-Estèphe,2007,France
34,Cuvée Folie - Sélection de Grains Nobles - Château des Rochettes,Blanc liquoreux,Loire,Coteaux du Layon,2010,France
35,"Il Vino ""Dal Tralcetto"" - Cantina Zaccagnini",Rouge,Abruzzes,Montepulciano d'Abruzzo,2015,Italie
35,Le K - Ampelidae,Rouge,Loire,Vin de Pays de la Vienne,2000,France
35,Clos Boucher - Delas,Blanc,Rhône,Condrieu,2007,France
35,Riesling - Cuvée Clément - Domaine Stirn,Blanc,Alsace,Alsace-Grand-Cru,2004,France
35,Château Lagrange,Rouge,Bordeaux,Saint-Julien,1983,France
35,Le Clos Guillot - Bernard Baudry,Rouge,Loire,Chinon,2013,France
35,Cristal Rosé - Louis Roederer,Rosé effervescent,Champagne,Champagne,2005,France
35,Clos Jebsal - Pinot Gris Vendanges Tardives - Domaine Zind Humbrecht,Blanc liquoreux,Alsace,Alsace-Grand-Cru,2005,France
36,Le L d'Or - Domaine Luneau-Papin,Blanc,Loire,Muscadet Sèvre et Maine,2005,France
36,Riesling Muenchberg - Domaine Ostertag,Blanc,Alsace,Alsace-Grand-Cru,2008,France
36,Condrieu - Mathilde et Yves Gangloff,Blanc,Rhône,Condrieu,2008,France
36,Morey-Saint-Denis 1er Cru Clos Sorbé - Maison Gille,Rouge,Bourgogne,Morey-Saint-Denis,2008,France
36,Hermitage - Jean-Louis Chave,Rouge,Rhône,Hermitage,2008,France
36,Château Rieussec,Blanc liquoreux,Bordeaux,Sauternes,2008,France
37,Champagne Jacquesson Extra Brut,Blanc effervescent,Champagne,Champagne,2005,France
37,Brézé - Clos Rougeard,Blanc,Loire,Saumur,2005,France
37,Clos des Lunelles,Rouge,Bordeaux,Castillon-Côtes-de-Bordeaux,2005,France
37,Château Pichon-Longueville du Baron de Pichon-Longueville,Rouge,Bordeaux,Pauillac,2005,France
37,Château Sociando-Mallet,Rouge,Bordeaux,Haut-Médoc,2005,France
37,Reserve Shiraz Viognier - Yering Station,Rouge,Yarra Valley,-,2005,Australie
37,Château de Rayne Vigneau,Blanc liquoreux,Bordeaux,Sauternes,2005,France
37,Cuvée des Loups - Domaine de la Taille aux Loups - Jacky Blot,Blanc liquoreux,Loire,Montlouis-Sur-Loire,2005,France
38,Champagne Belle Époque - Perrier-Jouët,Blanc effervescent,Champagne,Champagne,1995,France
38,Château d'Issan,Rouge,Bordeaux,Margaux,1996,France
38,Château Lynch-Bages,Rouge,Bordeaux,Pauillac,1990,France
38,Dow's Vintage Port,Rouge fortifié,Duriense,Porto,1997,Portugal
38,Les Cailloux - Cuvée Centenaire,Rouge,Rhône,Châteauneuf-Du-Pape,1989,France
39,Champagne Brut - Pur Pinot Noir - Cuvée Grande Réserve - Jean-Luc Carreau,Blanc effervescent,Champagne,Champagne,N.M,France
39,Hermitage - Tardieu-Laurent,Blanc,Rhône,Hermitage,2005,France
